101	7496	12
162	14626	8
4456	18739	0
2695	15928	7
102	26243	2
193	10598	28
11798	24894	28
517	13690	36
129	29003	31
1507	29871	24
3661	25066	14
14	12959	16
14	13649	18
64224	14533	6
63466	27994	7
1810	10572	11
101	23515	6
9277	2605	8
12	24233	15
85610	24427	21
221	6255	7
147	10130	13
1560	15735	24
360	2489	19
12	18667	5
128	3313	8
451	21121	0
642	23908	0
2912	13493	24
102	9787	22
2301	9215	6
61712	28125	9
1139	24448	1
31188	6538	5
103	23414	3
117	25932	16
107	19287	3
58	28028	22
128	29995	8
3915	1931	12
47543	13424	23
119	28618	2
167	21111	16
26763	513	32
197	4895	20
215	28993	7
262	12563	0
12	10873	20
14	9884	12
12	19115	7
159	22300	1
8218	14657	12
9453	9330	15
129	5142	24
130	11170	15
103	12640	9
5651	14032	7
882	5739	18
115	24970	9
57	2386	8
13744	11883	3
30295	16791	5
1249	24241	14
189	11607	7
551	1898	0
14	8191	12
35623	22713	2
81542	16011	6
113	3393	11
104	28437	7
1372	5815	14
1239	17999	6
546	4363	6
4602	26311	13
8332	13646	3
1121	7043	20
14	8951	16
14215	6087	8
610	14497	14
126	13041	15
21	20152	4
1	20682	8
4769	14296	3
180	10446	19
2955	4064	9
109	2883	6
231	5267	7
135	16307	0
645	20439	33
415	29069	3
633	22533	14
101	6029	1
18022	8728	3
402	12298	14
3593	21984	20
122	28857	23
116	10242	22
221	9574	15
19830	29431	6
802	1649	14
12295	15391	0
7439	9620	8
8404	19733	5
195	29940	7
14008	4922	23
102	15730	19
253	2004	3
996	5033	8
694	3627	25
46620	28335	11
119	2711	5
1	15069	22
173	10547	3
267	16764	9
14	25363	35
2061	27044	6
101	1445	3
101	12015	21
14	3068	16
472	28214	29
102	28642	5
12	8380	25
33773	22964	15
5820	6553	7
70298	4382	5
554	28524	16
12889	3820	6
9	13700	8
8618	11763	18
27571	24272	12
24668	21149	19
14	22576	33
383	2570	13
906	11573	8
136	3025	16
263	14146	1
3283	15863	5
2749	5254	13
57	29163	2
4222	17937	19
842	14512	19
2455	8044	22
3617	3283	5
60177	18385	2
2224	21837	35
31714	14665	9
74775	10353	3
80626	4392	3
110	16919	8
102	16309	19
5603	21718	20
1165	6389	3
118	15501	3
1506	13219	17
106	3244	8
163	25731	12
215	8471	5
180	27802	25
229	30164	8
114	5409	25
293	17746	30
8473	30131	6
14	6902	14
266	15543	10
555	28165	5
975	3607	24
635	29936	14
217	6137	15
869	18331	19
81514	10732	25
242	18257	4
333	9629	6
1888	9632	4
1127	6592	2
394	25810	1
674	9195	24
122	17942	24
2170	7429	6
136	24556	14
1324	28568	16
36294	12772	0
68366	4743	20
110	22513	8
14	5957	46
7737	2542	19
14	21294	9
8111	17245	8
4157	16829	6
1866	19580	7
167	10181	21
110	16819	2
328	5341	7
4123	11345	22
36482	23405	2
135	17582	0
103	6408	3
210	29035	0
69893	13119	11
1126	15739	13
207	13896	12
4529	23113	21
118	23732	8
5663	23209	14
1053	19308	7
542	29615	10
3699	14327	4
807	13351	14
379	12093	6
195	15525	6
403	29886	23
65071	20074	5
159	2894	28
263	22395	10
102	4223	1
110	22299	4
6949	28784	5
12	20141	21
106	10658	3
2012	7759	28
110	20693	6
34087	25316	16
2374	13159	1
228	17386	0
4291	25291	28
2603	14359	14
2670	8697	25
10964	10800	21
101	19956	2
12352	23891	1
5446	28370	0
111	3671	10
12	13048	1
120	1266	20
104	29745	12
119	16519	18
3719	23303	6
131	3622	32
13485	13237	25
226	27212	5
6029	17271	19
118	25597	2
190	3905	0
111	9014	2
1612	11559	9
918	12232	30
362	15071	21
302	9910	20
16427	308	25
6074	5174	5
1954	4433	20
109	8576	22
177	9153	7
104	17459	11
21514	12635	17
22270	9060	22
790	4320	8
186	437	22
12	18381	6
342	3718	5
413	7375	7
106	4389	11
562	26245	8
508	9656	35
4216	24639	4
114	29949	14
106	10758	9
4563	22445	14
101	17556	17
56003	28927	38
14	24967	20
158	30119	3
9	21819	21
1275	15495	20
64459	21519	19
101	19607	8
277	19226	8
14	27012	13
265	26730	7
